Name,Data Url,CL- 0 Deg Alpha,CD- 0 Deg Alpha,CL/CD- 0 Deg Alpha,CL- 3 Deg Alpha,CD- 3 Deg Alpha,CL/CD- 3 Deg Alpha,CL- 5 Deg Alpha,CD- 5 Deg Alpha,CL/CD- 5 Deg Alpha,CL- 7.5 Deg Alpha,CD- 7.5 Deg Alpha,CL/CD- 7.5 Deg Alpha,CL- 10 Deg Alpha,CD- 10 Deg Alpha,CL/CD- 10 Deg Alpha
"Airfoil,avistar-il",http://airfoiltools.com/polar/csv?polar=xf-avistar-il-200000,0.1774,0.01116,15.89605734767025,0.6481,0.01207,53.69511184755592,0.8216,0.01300,63.2,0.9240,0.02179,42.40477283157412,1.0037,0.03308,30.341596130592507
"Airfoil,b29root-il",http://airfoiltools.com/polar/csv?polar=xf-b29root-il-200000,0.0654,0.01578,4.144486692015209,0.4710,0.01839,25.61174551386623,0.7751,0.02113,36.682442025556085,1.1228,0.02334,48.10625535561268,1.3364,0.02318,57.65314926660915
"Airfoil,b29tip-il",http://airfoiltools.com/polar/csv?polar=xf-b29tip-il-200000,0.2449,0.01016,24.104330708661415,0.5380,0.01114,48.29443447037702,0.7306,0.01170,62.44444444444444,0.8929,0.02068,43.17698259187621,1.0444,0.04128,25.300387596899228
"Airfoil,b540ols-il",http://airfoiltools.com/polar/csv?polar=xf-b540ols-il-200000,0.0000,0.00792,0.0,0.3446,0.01072,32.1455223880597,0.5624,0.01331,42.25394440270473,0.8212,0.02107,38.974845752254396,1.0355,0.03786,27.35076597992605
"Airfoil,b707a-il",http://airfoiltools.com/polar/csv?polar=xf-b707a-il-200000,-0.0295,0.01280,-2.3046874999999996,0.2616,0.01349,19.39214232765011,0.5564,0.01448,38.425414364640886,0.7741,0.01820,42.53296703296703,0.9797,0.02389,41.008790288823775
"Airfoil,b707b-il",http://airfoiltools.com/polar/csv?polar=xf-b707b-il-200000,-0.0701,0.01180,-5.940677966101695,0.3249,0.01343,24.192107222635894,0.6346,0.01661,38.2059000602047,0.8051,0.02095,38.42959427207637,0.9798,0.02743,35.720014582573825
"Airfoil,b707c-il",http://airfoiltools.com/polar/csv?polar=xf-b707c-il-200000,0.2053,0.01095,18.748858447488587,0.5405,0.01363,39.6551724137931,0.7014,0.01631,43.00429184549356,0.9025,0.02729,33.07072187614511,0.9798,0.02743,35.720014582573825
"Airfoil,b707d-il",http://airfoiltools.com/polar/csv?polar=xf-b707d-il-200000,0.3169,0.01007,31.469712015888778,0.6038,0.00941,64.16578108395325,0.7533,0.01238,60.848142164781905,0.9187,0.02420,37.96280991735537,0.9798,0.02743,35.720014582573825
"Airfoil,b707e-il",http://airfoiltools.com/polar/csv?polar=xf-b707e-il-200000,0.2396,0.01218,19.671592775041052,0.5951,0.00936,63.57905982905982,0.7367,0.01278,57.64475743348983,0.8990,0.02290,39.25764192139738,0.9798,0.02743,35.720014582573825
"Airfoil,b737a-il",http://airfoiltools.com/polar/csv?polar=xf-b737a-il-200000,0.1131,0.01332,8.49099099099099,0.4222,0.01664,25.372596153846157,0.6728,0.01957,34.379151762902396,0.9294,0.02437,38.13705375461633,1.1567,0.03109,37.20488903184304
