Airfoil,CL,CD,CLMax,Vlo,Lift,Drag,Average Resistance,WingArea,ThrustNeeded
ag27-il- 3 Deg Alpha,0.6403,0.0091,1.2398,35.76606836,20.04255719,0.284846588,0.983995444,42,11.91912764
ag27-il- 3 Deg Alpha,0.6403,0.0091,1.2398,35.55505727,20.04255719,0.284846588,0.983995444,42.5,11.79047902
ag27-il- 3 Deg Alpha,0.6403,0.0091,1.2398,35.34773738,20.04255719,0.284846588,0.983995444,43,11.66482224
ag35-il- 0 Deg Alpha,0.4319,0.00896,1.2733,35.50440554,13.16357119,0.273085432,1.109814008,41.5,11.88552969
ag35-il- 0 Deg Alpha,0.4319,0.00896,1.2733,35.29243705,13.16357119,0.273085432,1.109814008,42,11.75724736
ag35-il- 0 Deg Alpha,0.4319,0.00896,1.2733,35.08422026,13.16357119,0.273085432,1.109814008,42.5,11.63198344
ag35-il- 0 Deg Alpha,0.4319,0.00896,1.2733,34.87964581,13.16357119,0.273085432,1.109814008,43,11.50963263
ag35-il- 3 Deg Alpha,0.7485,0.01158,1.2733,35.72023979,22.81299615,0.352938538,0.996678615,41,11.90380547
ag35-il- 3 Deg Alpha,0.7485,0.01158,1.2733,35.50440554,22.81299615,0.352938538,0.996678615,41.5,11.7723943
ag35-il- 3 Deg Alpha,0.7485,0.01158,1.2733,35.29243705,22.81299615,0.352938538,0.996678615,42,11.64411197
ag35-il- 3 Deg Alpha,0.7485,0.01158,1.2733,35.08422026,22.81299615,0.352938538,0.996678615,42.5,11.51884805
ag35-il- 3 Deg Alpha,0.7485,0.01158,1.2733,34.87964581,22.81299615,0.352938538,0.996678615,43,11.39649724
ag36-il- 0 Deg Alpha,0.4087,0.00867,1.2218,35.60716322,12.98152693,0.275384973,1.115754434,43,11.95393503
ag36-il- 3 Deg Alpha,0.7237,0.01129,1.2218,35.81600467,22.98686332,0.358603961,0.998866695,42.5,11.9645553
ag36-il- 3 Deg Alpha,0.7237,0.01129,1.2218,35.60716322,22.98686332,0.358603961,0.998866695,43,11.8370473
ag37-il- 0 Deg Alpha,0.39,0.00832,1.2355,35.61687594,12.2501983,0.261337564,1.116333598,42.5,11.96042776
ag37-il- 0 Deg Alpha,0.39,0.00832,1.2355,35.40919559,12.2501983,0.261337564,1.116333598,43,11.83433364
ag37-il- 3 Deg Alpha,0.7029,0.01129,1.2355,35.82825392,22.07862663,0.354627535,1.013055003,42,11.98624553
ag37-il- 3 Deg Alpha,0.7029,0.01129,1.2355,35.61687594,22.07862663,0.354627535,1.013055003,42.5,11.85714917
ag37-il- 3 Deg Alpha,0.7029,0.01129,1.2355,35.40919559,22.07862663,0.354627535,1.013055003,43,11.73105505
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,35.59808486,16.61235075,0.278400788,1.046153773,34.5,11.8788085
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,35.34289816,16.61235075,0.278400788,1.046153773,35,11.72405629
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,35.0931219,16.61235075,0.278400788,1.046153773,35.5,11.57366329
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,34.84856755,16.61235075,0.278400788,1.046153773,36,11.42744788
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,34.60905565,16.61235075,0.278400788,1.046153773,36.5,11.28523838
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,34.37441528,16.61235075,0.278400788,1.046153773,37,11.14687237
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,34.1444835,16.61235075,0.278400788,1.046153773,37.5,11.01219612
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,33.91910491,16.61235075,0.278400788,1.046153773,38,10.88106398
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,33.69813119,16.61235075,0.278400788,1.046153773,38.5,10.75333788
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,33.48142071,16.61235075,0.278400788,1.046153773,39,10.6288868
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,33.26883811,16.61235075,0.278400788,1.046153773,39.5,10.50758638
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,33.06025399,16.61235075,0.278400788,1.046153773,40,10.38931847
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,32.85554457,16.61235075,0.278400788,1.046153773,40.5,10.27397076
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,32.65459134,16.61235075,0.278400788,1.046153773,41,10.16143641
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,32.45728083,16.61235075,0.278400788,1.046153773,41.5,10.05161372
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,32.26350428,16.61235075,0.278400788,1.046153773,42,9.944405868
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,32.07315747,16.61235075,0.278400788,1.046153773,42.5,9.839720549
ah6407-il- 0 Deg Alpha,0.6522,0.01093,1.5236,31.88614038,16.61235075,0.278400788,1.046153773,43,9.737469772
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,35.85888017,24.59758834,0.268721712,0.876769945,34,11.86872842
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,35.59808486,24.59758834,0.268721712,0.876769945,34.5,11.70942467
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,35.34289816,24.59758834,0.268721712,0.876769945,35,11.55467246
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,35.0931219,24.59758834,0.268721712,0.876769945,35.5,11.40427947
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,34.84856755,24.59758834,0.268721712,0.876769945,36,11.25806406
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,34.60905565,24.59758834,0.268721712,0.876769945,36.5,11.11585455
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,34.37441528,24.59758834,0.268721712,0.876769945,37,10.97748854
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,34.1444835,24.59758834,0.268721712,0.876769945,37.5,10.84281229
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,33.91910491,24.59758834,0.268721712,0.876769945,38,10.71168016
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,33.69813119,24.59758834,0.268721712,0.876769945,38.5,10.58395405
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,33.48142071,24.59758834,0.268721712,0.876769945,39,10.45950297
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,33.26883811,24.59758834,0.268721712,0.876769945,39.5,10.33820255
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,33.06025399,24.59758834,0.268721712,0.876769945,40,10.21993464
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,32.85554457,24.59758834,0.268721712,0.876769945,40.5,10.10458693
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,32.65459134,24.59758834,0.268721712,0.876769945,41,9.992052579
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,32.45728083,24.59758834,0.268721712,0.876769945,41.5,9.882229896
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,32.26350428,24.59758834,0.268721712,0.876769945,42,9.77502204
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,32.07315747,24.59758834,0.268721712,0.876769945,42.5,9.670336721
ah6407-il- 3 Deg Alpha,0.9657,0.01055,1.5236,31.88614038,24.59758834,0.268721712,0.876769945,43,9.568085945
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,35.50010618,17.09527836,0.44193824,1.200032673,32.5,11.97313877
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,35.23013948,17.09527836,0.44193824,1.200032673,33,11.80990989
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,34.96623958,17.09527836,0.44193824,1.200032673,33.5,11.65155351
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,34.70818263,17.09527836,0.44193824,1.200032673,34,11.49785468
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,34.45575613,17.09527836,0.44193824,1.200032673,34.5,11.34861088
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,34.20875828,17.09527836,0.44193824,1.200032673,35,11.20363119
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,33.96699724,17.09527836,0.44193824,1.200032673,35.5,11.06273544
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,33.73029054,17.09527836,0.44193824,1.200032673,36,10.92575345
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,33.49846449,17.09527836,0.44193824,1.200032673,36.5,10.7925244
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,33.27135364,17.09527836,0.44193824,1.200032673,37,10.66289614
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,33.04880028,17.09527836,0.44193824,1.200032673,37.5,10.53672462
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,32.830654,17.09527836,0.44193824,1.200032673,38,10.41387341
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,32.61677124,17.09527836,0.44193824,1.200032673,38.5,10.29421314
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,32.40701491,17.09527836,0.44193824,1.200032673,39,10.17762109
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,32.20125401,17.09527836,0.44193824,1.200032673,39.5,10.06398073
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.99936328,17.09527836,0.44193824,1.200032673,40,9.953181376
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.8012229,17.09527836,0.44193824,1.200032673,40.5,9.845117812
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.60671818,17.09527836,0.44193824,1.200032673,41,9.739689945
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.41573929,17.09527836,0.44193824,1.200032673,41.5,9.636802508
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.22818096,17.09527836,0.44193824,1.200032673,42,9.536364771
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,31.04394229,17.09527836,0.44193824,1.200032673,42.5,9.438290276
ah7476-il- 0 Deg Alpha,0.7164,0.01852,1.6263,30.86292651,17.09527836,0.44193824,1.200032673,43,9.342496583
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,36.05919736,27.33955949,0.265115219,0.818324029,31.5,11.93343349
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,35.77637576,27.33955949,0.265115219,0.818324029,32,11.75975991
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,35.50010618,27.33955949,0.265115219,0.818324029,32.5,11.59143013
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,35.23013948,27.33955949,0.265115219,0.818324029,33,11.42820125
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,34.96623958,27.33955949,0.265115219,0.818324029,33.5,11.26984487
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,34.70818263,27.33955949,0.265115219,0.818324029,34,11.11614603
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,34.45575613,27.33955949,0.265115219,0.818324029,34.5,10.96690224
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,34.20875828,27.33955949,0.265115219,0.818324029,35,10.82192255
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,33.96699724,27.33955949,0.265115219,0.818324029,35.5,10.68102679
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,33.73029054,27.33955949,0.265115219,0.818324029,36,10.54404481
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,33.49846449,27.33955949,0.265115219,0.818324029,36.5,10.41081576
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,33.27135364,27.33955949,0.265115219,0.818324029,37,10.28118749
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,33.04880028,27.33955949,0.265115219,0.818324029,37.5,10.15501598
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,32.830654,27.33955949,0.265115219,0.818324029,38,10.03216477
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,32.61677124,27.33955949,0.265115219,0.818324029,38.5,9.9125045
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,32.40701491,27.33955949,0.265115219,0.818324029,39,9.795912443
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,32.20125401,27.33955949,0.265115219,0.818324029,39.5,9.682272083
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.99936328,27.33955949,0.265115219,0.818324029,40,9.571472732
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.8012229,27.33955949,0.265115219,0.818324029,40.5,9.463409168
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.60671818,27.33955949,0.265115219,0.818324029,41,9.3579813
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.41573929,27.33955949,0.265115219,0.818324029,41.5,9.255093863
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.22818096,27.33955949,0.265115219,0.818324029,42,9.154656127
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,31.04394229,27.33955949,0.265115219,0.818324029,42.5,9.056581632
ah7476-il- 3 Deg Alpha,1.1457,0.01111,1.6263,30.86292651,27.33955949,0.265115219,0.818324029,43,8.960787939
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,35.45570931,13.167,0.316720482,1.153380482,38,11.89955747
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,35.22472503,13.167,0.316720482,1.153380482,38.5,11.75999673
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,34.99819712,13.167,0.316720482,1.153380482,39,11.62401447
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,34.7759841,13.167,0.316720482,1.153380482,39.5,11.4914748
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,34.5579507,13.167,0.316720482,1.153380482,40,11.36224862
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,34.34396753,13.167,0.316720482,1.153380482,40.5,11.23621321
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,34.13391071,13.167,0.316720482,1.153380482,41,11.11325184
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,33.92766163,13.167,0.316720482,1.153380482,41.5,10.99325339
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,33.72510661,13.167,0.316720482,1.153380482,42,10.87611205
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,33.52613669,13.167,0.316720482,1.153380482,42.5,10.76172697
ah79100a-il- 0 Deg Alpha,0.4731,0.01138,1.3944,33.33064735,13.167,0.316720482,1.153380482,43,10.65000201
ah79100a-il- 3 Deg Alpha,0.8034,0.01027,1.3944,35.93164617,22.35968675,0.285827711,0.938633976,37,11.97524818
ah79100a-il- 3 Deg Alpha,0.8034,0.01027,1.3944,35.69129801,22.35968675,0.285827711,0.938633976,37.5,11.82809333
